Sexo,Idade do morador na data de referência,Cor ou raça,... sabe ler e escrever?,Qual é o ano/série/semestre que ... frequenta?,Qual foi o curso mais elevado que ... frequentou anteriormente?,"Na semana de ... a ... (semana de referência), ... trabalhou ou estagiou, durante pelo menos 1 hora, em alguma atividade remunerada em dinheiro?",Condição no domicílio,"Rendimento mensal habitual do trabalho principal para pessoas de 14 anos ou mais de idade (apenas para pessoas que receberam em dinheiro, produtos ou mercadorias no trabalho principal)","Rendimento mensal habitual de todos os trabalhos para pessoas de 14 anos ou mais de idade (apenas para pessoas que receberam em dinheiro, produtos ou mercadorias em qualquer trabalho)",Número de pessoas no domicílio,Qual foi o curso mais elevado que ... frequentou anteriormente?2,"Número de componentes do domicílio (exclusive as pessoas cuja condição no domicílio era pensionista, empregado doméstico ou parente do empregado doméstico)",Anos de estudo (pessoas de 5 anos ou mais de idade) padronizado para o Ensino fundamental - SISTEMA DE 9 ANOS,Posição na ocupação no trabalho principal da semana de referência para pessoas de 14 anos ou mais de idade (com subcategorias de empregados),Posição na ocupação e categoria do emprego do trabalho principal da semana de referência para pessoas de 14 anos ou mais de idade,"Rendimento mensal efetivo do trabalho principal para pessoas de 14 anos ou mais de idade (apenas para pessoas que receberam em dinheiro, produtos ou mercadorias no trabalho principal)"
Mulher,45,Parda,Sim,Não aplicável,Não aplicável,Sim,Cônjuge ou companheiro(a)," R$  300,00 "," R$  300,00 ",7,Regular do ensino médio óu do 2º grau,7,10 anos de estudo,Conta-própria,Conta-própria," R$  200,00 "
Mulher,42,Parda,Sim,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,4,Regular do ensino fundamental ou do 1º grau,4,8 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,19,Parda,Sim,Primeira (o),Não aplicável,Não,Filho(a),Não aplicável,Não aplicável,4,Não aplicável,4,9 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,34,Branca,Sim,Não aplicável,Não aplicável,Sim,Pessoa responsável," R$  1.200,00 "," R$  1.200,00 ",4,Regular do ensino médio óu do 2º grau,4,12 anos de estudo,Empregado no setor privado,Empregado no setor privado com carteira de trabalho assinada," R$  1.600,00 "
Homem,15,Parda,Não,Não aplicável,Não aplicável,Não,Filho(a),Não aplicável,Não aplicável,6,Não aplicável,6,Sem instrução e menos de 1 ano de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,6,Parda,Sim,Primeira (o),Não aplicável,Não aplicável,Filho(a),Não aplicável,Não aplicável,4,Não aplicável,4,Sem instrução e menos de 1 ano de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,8,Parda,Sim,Quarta (o),Não aplicável,Não aplicável,Filho(a),Não aplicável,Não aplicável,4,Não aplicável,4,3 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,13,Parda,Sim,Sétima (o),Não aplicável,Não aplicável,Filho(a),Não aplicável,Não aplicável,5,Não aplicável,5,6 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,6,Parda,Não,Primeira (o),Não aplicável,Não aplicável,Bisneto(a),Não aplicável,Não aplicável,6,Não aplicável,6,Sem instrução e menos de 1 ano de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,55,Branca,Sim,Não aplicável,Não aplicável,Sim,Irmão ou irmã," R$  1.500,00 "," R$  1.500,00 ",4,Regular do ensino fundamental ou do 1º grau,4,8 anos de estudo,Conta-própria,Conta-própria," R$  2.000,00 "
Mulher,88,Branca,Sim,Não aplicável,Não aplicável,Não,"Pai, mãe, padrasto ou madrasta",Não aplicável,Não aplicável,2,Classe de alfabetização - CA,2,Sem instrução e menos de 1 ano de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,71,Parda,Sim,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,3,Regular do ensino fundamental ou do 1º grau,3,9 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,17,Parda,Sim,Terceira (o),Não aplicável,Não,Filho(a),Não aplicável,Não aplicável,3,Não aplicável,3,11 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,5,Branca,Não,Não aplicável,Não aplicável,Não aplicável,Filho(a),Não aplicável,Não aplicável,3,Não aplicável,3,Sem instrução e menos de 1 ano de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,37,Branca,Sim,Não aplicável,Não aplicável,Sim,Pessoa responsável," R$  1.200,00 "," R$  1.200,00 ",3,Regular do ensino médio óu do 2º grau,3,9 anos de estudo,Empregado no setor privado,Empregado no setor privado sem carteira de trabalho assinada," R$  1.000,00 "
Mulher,15,Parda,Sim,Primeira (o),Não aplicável,Não,Filho(a),Não aplicável,Não aplicável,7,Não aplicável,7,9 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,39,Branca,Sim,Não aplicável,Não aplicável,Não,Cônjuge ou companheiro(a)," R$  5.000,00 "," R$  5.000,00 ",4,Regular do ensino médio óu do 2º grau,4,12 anos de estudo,Empregador,Empregador," R$  5.000,00 "
Mulher,11,Branca,Sim,Sexta (o),Não aplicável,Não aplicável,Filho(a),Não aplicável,Não aplicável,4,Não aplicável,4,5 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,39,Parda,Sim,Não aplicável,Não aplicável,Sim,Pessoa responsável," R$  2.000,00 "," R$  2.000,00 ",4,Regular do ensino médio óu do 2º grau,4,12 anos de estudo,Conta-própria,Conta-própria," R$  2.000,00 "
Homem,51,Branca,Sim,Não aplicável,Não aplicável,Sim,Pessoa responsável," R$  6.000,00 "," R$  6.000,00 ",3,Superior - graduação,3,14 anos de estudo,Conta-própria,Conta-própria," R$  6.000,00 "
Mulher,36,Branca,Sim,Não aplicável,Não aplicável,Não,Cônjuge ou companheiro(a),Não aplicável,Não aplicável,4,Regular do ensino médio óu do 2º grau,4,12 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,21,Parda,Sim,Não aplicável,Não aplicável,Não,Genro ou nora,Não aplicável,Não aplicável,5,Superior - graduação,5,16 anos ou mais de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,12,Branca,Sim,Sétima (o),Não aplicável,Não aplicável,Filho(a),Não aplicável,Não aplicável,3,Não aplicável,3,6 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,4,Branca,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Filho(a),Não aplicável,Não aplicável,3,Não aplicável,3,Não aplicável,Não aplicável,Não aplicável,Não aplicável
Mulher,76,Branca,Não,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,3,Não aplicável,3,Sem instrução e menos de 1 ano de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,59,Parda,Sim,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,2,Regular do ensino médio óu do 2º grau,2,11 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,56,Branca,Sim,Não aplicável,Não aplicável,Sim,Pessoa responsável," R$  8.000,00 "," R$  8.000,00 ",3,Regular do ensino médio óu do 2º grau,3,12 anos de estudo,Empregador,Empregador," R$  4.000,00 "
Mulher,4,Parda,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Filho(a),Não aplicável,Não aplicável,3,Não aplicável,3,Não aplicável,Não aplicável,Não aplicável,Não aplicável
Homem,20,Parda,Sim,Não aplicável,Não aplicável,Não,Filho(a),Não aplicável,Não aplicável,4,Regular do ensino médio óu do 2º grau,4,12 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,32,Parda,Sim,Não aplicável,Não aplicável,Sim,Cônjuge ou companheiro(a)," R$  1.045,00 "," R$  1.045,00 ",4,Regular do ensino médio óu do 2º grau,4,12 anos de estudo,Empregado no setor privado,Empregado no setor privado com carteira de trabalho assinada," R$  1.045,00 "
Mulher,1,Parda,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Filho(a),Não aplicável,Não aplicável,4,Não aplicável,4,Não aplicável,Não aplicável,Não aplicável,Não aplicável
Mulher,54,Parda,Não,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,2,Antigo primário (elementar),2,2 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,37,Parda,Sim,Não aplicável,Não aplicável,Sim,Cônjuge ou companheiro(a)," R$  1.045,00 "," R$  1.045,00 ",5,Regular do ensino fundamental ou do 1º grau,5,5 anos de estudo,Empregado no setor privado,Empregado no setor privado sem carteira de trabalho assinada," R$  1.100,00 "
Homem,8,Parda,Sim,Primeira (o),Não aplicável,Não aplicável,Neto(a),Não aplicável,Não aplicável,4,Não aplicável,4,Sem instrução e menos de 1 ano de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,59,Parda,Sim,Não aplicável,Não aplicável,Sim,Pessoa responsável," R$  1.400,00 "," R$  1.400,00 ",5,Regular do ensino médio óu do 2º grau,5,12 anos de estudo,Empregado no setor público (inclusive servidor estatutário e militar),Militar e servidor estatutário," R$  1.400,00 "
Mulher,2,Parda,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Filho(a),Não aplicável,Não aplicável,3,Não aplicável,3,Não aplicável,Não aplicável,Não aplicável,Não aplicável
Homem,1,Branca,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Filho(a),Não aplicável,Não aplicável,4,Não aplicável,4,Não aplicável,Não aplicável,Não aplicável,Não aplicável
Mulher,20,Parda,Sim,Não aplicável,Não aplicável,Não,Filho(a),Não aplicável,Não aplicável,5,Regular do ensino médio óu do 2º grau,5,12 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,15,Parda,Sim,Primeira (o),Não aplicável,Não,Filho(a),Não aplicável,Não aplicável,5,Não aplicável,5,9 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,20,Parda,Sim,Não aplicável,Não aplicável,Não,Filho(a),Não aplicável,Não aplicável,5,Regular do ensino médio óu do 2º grau,5,9 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,18,Parda,Sim,Primeira (o),Não aplicável,Não,Filho(a),Não aplicável,Não aplicável,5,Não aplicável,5,9 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,67,Parda,Sim,Não aplicável,Não aplicável,Não,Cônjuge ou companheiro(a),Não aplicável,Não aplicável,3,Regular do ensino médio óu do 2º grau,3,12 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,28,Parda,Sim,Não aplicável,Não aplicável,Sim,Filho(a)," R$  1.045,00 "," R$  1.045,00 ",3,Especialização de nível superior,3,16 anos ou mais de estudo,Empregado no setor privado,Empregado no setor privado com carteira de trabalho assinada," R$  1.045,00 "
Mulher,20,Parda,Sim,Não aplicável,Não aplicável,Não,Genro ou nora,Não aplicável,Não aplicável,3,Regular do ensino médio óu do 2º grau,3,12 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,16,Branca,Sim,Oitava (o) ,Não aplicável,Não,Genro ou nora,Não aplicável,Não aplicável,5,Não aplicável,5,7 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,16,Parda,Sim,Segunda (o),Não aplicável,Não,Filho(a),Não aplicável,Não aplicável,7,Não aplicável,7,10 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,9,Parda,Sim,Quarta (o),Não aplicável,Não aplicável,Filho(a),Não aplicável,Não aplicável,7,Não aplicável,7,3 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,29,Branca,Sim,Primeira (o),Não aplicável,Sim,Pessoa responsável," R$  1.200,00 "," R$  1.200,00 ",4,Não aplicável,4,12 anos de estudo,Conta-própria,Conta-própria," R$  900,00 "
Mulher,16,Branca,Sim,Segunda (o),Não aplicável,Não,Outro parente,Não aplicável,Não aplicável,5,Não aplicável,5,10 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,15,Parda,Sim,Nona (o),Não aplicável,Não,Filho(a),Não aplicável,Não aplicável,3,Não aplicável,3,8 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,54,Parda,Sim,Não aplicável,Não aplicável,Sim,Pessoa responsável," R$  6.000,00 "," R$  6.000,00 ",3,Regular do ensino fundamental ou do 1º grau,3,6 anos de estudo,Empregador,Empregador," R$  5.000,00 "
Mulher,20,Parda,Sim,Não aplicável,Não aplicável,Não,Filho(a),Não aplicável,Não aplicável,3,Regular do ensino médio óu do 2º grau,3,12 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,56,Parda,Sim,Não aplicável,Não aplicável,Sim,Pessoa responsável," R$  200,00 "," R$  200,00 ",5,Regular do ensino fundamental ou do 1º grau,5,7 anos de estudo,Conta-própria,Conta-própria," R$  500,00 "
Homem,16,Branca,Sim,Primeira (o),Não aplicável,Não,Neto(a),Não aplicável,Não aplicável,6,Não aplicável,6,9 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,6,Branca,Não,Primeira (o),Não aplicável,Não aplicável,Neto(a),Não aplicável,Não aplicável,6,Não aplicável,6,Sem instrução e menos de 1 ano de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,32,Parda,Sim,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,3,Regular do ensino fundamental ou do 1º grau,3,8 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,9,Parda,Sim,Quarta (o),Não aplicável,Não aplicável,Filho(a),Não aplicável,Não aplicável,3,Não aplicável,3,3 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,81,Parda,Não,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,2,Classe de alfabetização - CA,2,Sem instrução e menos de 1 ano de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,42,Branca,Sim,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,3,Regular do ensino médio óu do 2º grau,3,12 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,26,Parda,Sim,Não aplicável,Não aplicável,Não,Filho(a),Não aplicável,Não aplicável,4,Regular do ensino fundamental ou do 1º grau,4,9 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,57,Parda,Sim,Não aplicável,Não aplicável,Não,Cônjuge ou companheiro(a),Não aplicável,Não aplicável,4,Regular do ensino médio óu do 2º grau,4,12 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,15,Branca,Sim,Primeira (o),Não aplicável,Não,Filho(a),Não aplicável,Não aplicável,5,Não aplicável,5,9 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,34,Parda,Sim,Não aplicável,Não aplicável,Sim,Pessoa responsável," R$  700,00 "," R$  700,00 ",3,Regular do ensino fundamental ou do 1º grau,3,9 anos de estudo,Empregado no setor privado,Empregado no setor privado sem carteira de trabalho assinada," R$  700,00 "
Mulher,59,Branca,Sim,Não aplicável,Não aplicável,Não,Cônjuge ou companheiro(a),Não aplicável,Não aplicável,2,Regular do ensino médio óu do 2º grau,2,12 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,46,Parda,Não,Não aplicável,Não aplicável,Sim,Pessoa responsável," R$  150,00 "," R$  150,00 ",5,Não aplicável,5,Sem instrução e menos de 1 ano de estudo,Conta-própria,Conta-própria," R$  150,00 "
Mulher,89,Parda,Sim,Não aplicável,Não aplicável,Não,"Pai, mãe, padrasto ou madrasta",Não aplicável,Não aplicável,4,Classe de alfabetização - CA,4,1 ano de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,33,Branca,Sim,Não aplicável,Não aplicável,Sim,Pessoa responsável," R$  1.045,00 "," R$  1.045,00 ",3,Regular do ensino médio óu do 2º grau,3,12 anos de estudo,Empregado no setor privado,Empregado no setor privado com carteira de trabalho assinada," R$  1.045,00 "
Homem,80,Branca,Sim,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,4,Antigo primário (elementar),4,2 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,62,Parda,Sim,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,4,Antigo primário (elementar),4,4 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,81,Parda,Não,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,3,Não aplicável,3,Sem instrução e menos de 1 ano de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,68,Parda,Não,Não aplicável,Não aplicável,Não,Cônjuge ou companheiro(a),Não aplicável,Não aplicável,3,Antigo primário (elementar),3,2 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,69,Parda,Não,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,2,Não aplicável,2,Sem instrução e menos de 1 ano de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,57,Parda,Sim,Não aplicável,Não aplicável,Sim,Cônjuge ou companheiro(a)," R$  1.045,00 "," R$  1.045,00 ",8,Regular do ensino médio óu do 2º grau,8,12 anos de estudo,Empregado no setor público (inclusive servidor estatutário e militar),Militar e servidor estatutário," R$  1.045,00 "
Homem,10,Branca,Sim,Quarta (o),Não aplicável,Não aplicável,Filho(a),Não aplicável,Não aplicável,5,Não aplicável,5,3 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,76,Parda,Não,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,3,Classe de alfabetização - CA,3,Sem instrução e menos de 1 ano de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,17,Parda,Sim,Terceira (o),Não aplicável,Sim,Neto(a)," R$  600,00 "," R$  600,00 ",4,Não aplicável,4,11 anos de estudo,Empregado no setor privado,Empregado no setor privado sem carteira de trabalho assinada, R$  -   
Mulher,69,Parda,Sim,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,1,Antigo primário (elementar),1,5 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,43,Parda,Sim,Não aplicável,Não aplicável,Não,Irmão ou irmã,Não aplicável,Não aplicável,4,Regular do ensino médio óu do 2º grau,4,12 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,32,Preta,Sim,Não aplicável,Não aplicável,Não,Cônjuge ou companheiro(a),Não aplicável,Não aplicável,4,Regular do ensino fundamental ou do 1º grau,4,7 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,7,Parda,Sim,Primeira (o),Não aplicável,Não aplicável,Filho(a),Não aplicável,Não aplicável,4,Não aplicável,4,Sem instrução e menos de 1 ano de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,30,Parda,Sim,Não aplicável,Não aplicável,Não,Filho(a),Não aplicável,Não aplicável,5,Regular do ensino fundamental ou do 1º grau,5,9 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,80,Parda,Sim,Não aplicável,Não aplicável,Não,Cônjuge ou companheiro(a),Não aplicável,Não aplicável,2,Antigo primário (elementar),2,3 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,23,Branca,Não,Não aplicável,Não aplicável,Não,Filho(a),Não aplicável,Não aplicável,2,Regular do ensino fundamental ou do 1º grau,2,2 anos de estudo,Não aplicável,Não aplicável,Não aplicável
